15300,-3092,568,15728,-1456,6436,0
15020,-1148,980,18680,-4048,6052,0
15844,-3872,2876,16904,-1004,4948,0
18316,1856,1012,13320,1580,6920,0
20684,644,1764,14832,848,6632,0
24996,-480,-564,28464,3740,3008,0
27200,-1568,5888,17928,500,6736,0
12560,-3344,10240,18228,-4064,2052,0
12052,-1768,6568,17100,10216,1232,0
10528,1996,9496,15424,-480,84,0
13556,8948,9092,15880,2216,1432,0
18788,208,9528,14732,3332,1184,0
20496,272,6492,17872,1360,1236,0
14144,3400,8392,17836,-1160,-3440,0
11520,2492,12120,18080,1312,-6468,0
32767,-7988,-724,20432,-800,-16684,0
15624,-36,7064,27480,7044,5308,0
14996,-1896,-48,10388,8212,11984,0
17672,-5340,1768,8352,-2492,4468,0
15768,-884,868,8312,-4036,7920,0
16292,-2392,3588,16656,-2072,8060,0
16100,-1460,2160,17752,-3084,6932,0
16740,-4200,3956,19768,1700,6516,0
18068,404,228,16704,-1448,8284,0
